time,open,high,low,close,EMA,VWAP,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1777180020,77710,77710,77704.2,77704.2,77698.50190471593,77527.84555557935,61.579818924674136,46.02687423749718,,,,
1777180080,77704.2,77711.7,77690.2,77711.7,77701.43481477906,77528.47567715858,71.00784367860477,45.71631457409466,,,,
1777180140,77711.7,77789.7,77711.6,77750.3,77712.29374482816,77531.85425592907,89.98346673611792,48.60769189390605,,,,
1777180200,77750.3,77754.1,77750,77754.1,77721.58402375523,77532.70801929034,90.86624649188957,52.64398081463738,,,,
1777180260,77754.1,78000,77750,77999.9,77783.43201847629,77571.16561876006,99.04370106590707,55.45399147926629,,,,
1777180320,77999.9,78037,77901.4,77958.9,77822.42490325934,77586.10963143337,80.91757659506324,57.025955362790945,,,,
1777180380,77958.9,78100,77945.3,78082.6,77880.24159142392,77604.99697140102,89.5623969794864,59.97922484614224,,,,
1777180440,78082.7,78119.6,78032,78089.4,77926.72123777417,77618.49002780454,89.93825700473852,64.76681483470736,,,,
1777180500,78089.5,78145.8,78025,78031.4,77949.98318493547,77631.17426731656,61.57124292912728,67.62552905117708,,,,
1777180560,78031.5,78054.5,78003.1,78011.3,77963.6091438387,77635.52149746683,52.89823639741585,68.57686348362655,,,,
1777180620,78011.4,78128.3,78002.3,78028.3,77977.98488965232,77645.81563204053,60.039384562992225,71.23658164776668,,,,
1777180680,78028.4,78049.9,77979.3,78020.9,77987.5215808407,77652.62507554691,54.631266072997484,72.42236468089253,,,,
1777180740,78020.9,78106.9,78000,78100,78012.51678509831,77662.681699365,81.43867816001396,75.53297241901704,,,,
1777180800,78100.1,78119.5,78066,78113.4,78034.93527729869,77668.99248393413,83.8617885797992,76.23856458420197,,,,
1777180860,78113.4,78113.4,78061.5,78080.2,78044.99410456565,77677.46436382511,56.46633697895143,75.8733158737932,,,,
1777180920,78080.1,78080.2,78033.6,78036.8,78043.17319243995,77678.71646378926,34.419019915498566,73.25982846214276,,,,
1777180980,78036.9,78039.6,78013.6,78039.6,78042.37914967551,77680.332311163,36.806809087639735,69.46149577296575,,,,
1777181040,78039.6,78039.6,77995.3,78008.8,78034.91711641429,77681.92020523982,22.99331375163557,64.6134291486619,,,,
1777181100,78008.9,78008.9,77995.3,78000.1,78027.17997943333,77682.87588622163,19.83868602455881,58.95592807427987,,,,
1777181160,78000,78080.1,78000,78073.7,78037.51776178148,77685.30962451296,70.75461681655763,58.23000237581518,,,,
1777181220,78073.6,78123,78072.1,78123,78056.51381471893,77689.6348367369,82.14773414451034,57.70038360188831,,,,
1777181280,78123,78164.7,78075.3,78080,78061.73296700361,77696.83807218549,54.4139850529336,55.162935605330816,,,,
1777181340,78080,78080,78052.8,78060,78061.34786322503,77698.10586759058,44.04062860107395,53.910748867612725,,,,
1777181400,78060,78156.5,78060,78084.5,78066.49278250836,77703.25483462201,58.55772360893947,54.31499795415014,,,,
1777181460,78084.6,78084.6,78024.4,78049.9,78062.8054975065,77704.85812323152,37.79011844441714,52.725764659966195,,,,
1777181520,78050,78050,78022.1,78027.3,78054.9153869495,77706.01526278131,28.04509733984507,50.826752607598166,,,,
1777181580,78027.4,78027.4,78009.7,78027.3,78048.77863429407,77707.04000889024,28.04509733984507,47.012925406157535,,,,
1777181640,78027.4,78048.9,78025,78041.6,78047.18338222872,77708.18476788906,47.367744676268316,44.40620798447675,,,,
1777181700,78041.6,78050,78032.8,78041.3,78045.87596395567,77709.09679625851,46.970817501727154,43.72795659324645,,,,
1777181760,78041.4,78041.4,77993,77997,78035.01463863219,77711.48055589008,16.445776893058564,42.44415352021501,,,,
1777181820,77997,78015.9,77976.6,77996.3,78026.41138560281,77713.46211232172,16.196300458225195,40.97197433239968,,,,
1777181880,77996.4,78015.9,77992.4,78015.9,78024.07552213552,77714.06386028194,48.810435267285825,42.81605444066042,,,,
1777181940,78015.9,78025,78009.1,78024.9,78024.25873943874,77714.77049681742,59.63136216698578,45.658388450833776,,,,
