cond,side,rr,n,ndays,nsyms,wr,be,lift_pts,expR,ci_lo,ci_hi,p_neg,n_tr,wr_tr,e_tr,n_te,wr_te,e_te,hold_h
fund_gt_0.05pct,-1,1.0,632,110,12,0.5205696202531646,0.5127076184152055,0.7862001837959043,0.0048333199273930165,-0.14673406965209254,0.1695038303685073,0.4475,631,0.5198098256735341,0.003405303300095761,1,1.0,0.905911811751961,20.47270569620253
fund_gt_0.05pct,-1,2.0,431,103,12,0.345707656612529,0.3447809181813251,0.09267384312038884,-0.007868581728511716,-0.2301011256378291,0.31794943002913617,0.45875,430,0.34651162790697676,-0.005301359969929841,1,0.0,-1.111773937918723,41.52088167053364
fund_gt_0.10pct,-1,0.25,62,12,11,0.7741935483870968,0.8130086434438422,-3.881509505674541,-0.05821850154530197,,,,62,0.7741935483870968,-0.05821850154530197,0,,,4.669354838709677
fund_gt_0.10pct,-1,0.5,53,12,11,0.6037735849056604,0.6790189750515213,-7.524539014586096,-0.12291205690012261,,,,53,0.6037735849056604,-0.12291205690012261,0,,,9.216981132075471
fund_gt_0.10pct,-1,0.75,50,12,11,0.56,0.5822441862329187,-2.2244186232918683,-0.04913778640590741,,,,50,0.56,-0.04913778640590741,0,,,11.68
fund_gt_0.10pct,-1,1.0,49,12,11,0.5306122448979592,0.5099848397717516,2.0627405126207643,0.030878395603291364,,,,49,0.5306122448979592,0.030878395603291364,0,,,14.091836734693878
fund_gt_0.10pct,-1,2.0,42,12,11,0.42857142857142855,0.3407109730882745,8.786045548315402,0.25315728384605646,,,,42,0.42857142857142855,0.25315728384605646,0,,,22.142857142857142
fund_lt_-0.01pct,1,0.25,7605,1341,12,0.8092044707429323,0.8174284951861763,-0.8224024443243994,-0.025896629687366276,-0.04433977458175836,-0.008927308524095188,0.99875,5473,0.8178329983555637,-0.014340164350630215,2132,0.7870544090056285,-0.055562921801792384,6.971137409598948
fund_lt_-0.01pct,1,0.5,5141,1279,12,0.6715953307392996,0.6832397605683762,-1.1644429829076652,-0.03346802825344333,-0.06464360996550356,-0.004780726251370137,0.99125,3654,0.6784345922276956,-0.022469672100872955,1487,0.654777927321669,-0.06049425110582543,14.367584127601633
fund_lt_-0.01pct,1,0.75,4000,1220,12,0.574143535883971,0.5874113171425798,-1.3267781258608724,-0.03944905022545292,-0.08597163842166017,0.007592128556751663,0.94625,2796,0.5815450643776824,-0.025821865475382465,1204,0.5569409808811305,-0.07109490451216141,21.99525
fund_lt_-0.01pct,1,1.0,3346,1144,12,0.49760765550239233,0.5158231171476164,-1.8215461645224085,-0.052618740531012266,-0.10946616856992314,0.008278250003984865,0.955,2321,0.5066781559672555,-0.033617909705266374,1025,0.47702834799608995,-0.095644036478872,30.43290496114764
fund_lt_-0.01pct,1,2.0,2196,914,12,0.3270985401459854,0.3488624775466566,-2.176393740067123,-0.08141010568479956,-0.1897213346260423,0.031115433333289245,0.93375,1479,0.34032476319350474,-0.040744420511094614,717,0.29971988795518206,-0.16529371568746287,66.1511839708561
fund_lt_-0.05pct,1,0.25,754,299,12,0.8143236074270557,0.8130050676907917,0.13185397362639462,-0.01594792581204665,-0.06471660393464673,0.023577427300367892,0.79875,664,0.8237951807228916,-0.003764871993507255,90,0.7444444444444445,-0.10583178953993728,7.219827586206897
fund_lt_-0.05pct,1,0.5,545,276,12,0.7064220183486238,0.6790790539958373,2.734296435278649,0.023029910519740772,-0.042805305977851836,0.08092457277766921,0.26,477,0.7169811320754716,0.03912627117107052,68,0.6323529411764706,-0.08988132522561647,13.754587155963304
fund_lt_-0.05pct,1,0.75,428,250,12,0.6051401869158879,0.5838659514147269,2.127423550116103,0.017906330380919214,-0.07727585256119296,0.10522755299710908,0.38,374,0.6283422459893048,0.058901791557445,54,0.4444444444444444,-0.2660251970268704,24.38785046728972
fund_lt_-0.05pct,1,1.0,374,230,12,0.5187165775401069,0.51243432228836,0.6282255251746971,-0.007029457851082478,-0.11912341540683707,0.09183532018383618,0.59,322,0.5372670807453416,0.030539432851136764,52,0.40384615384615385,-0.2396675887379015,33.66711229946524
fund_lt_-0.05pct,1,2.0,281,191,12,0.35125448028673834,0.3484064111790257,0.2848069107712625,-0.009980345363734287,-0.1690634911877841,0.15930604811715093,0.5775,236,0.37606837606837606,0.06288412186651159,45,0.2222222222222222,-0.39211399572680156,97.55160142348754
fund_lt_-0.10pct,1,0.25,224,92,11,0.8125,0.8100667526458407,0.24332473541592847,-0.013028413398540375,-0.08479654424338551,0.05765476186435688,0.65,206,0.8203883495145631,-0.002863596314459074,18,0.7222222222222222,-0.12935909780524868,7.110491071428571
fund_lt_-0.10pct,1,0.5,162,83,11,0.7222222222222222,0.6765101156008737,4.571210662134851,0.0523013295730893,-0.06988617611403529,0.15334817684124702,0.2175,149,0.7315436241610739,0.0665628925200779,13,0.6153846153846154,-0.1111581226654723,14.373456790123457
fund_lt_-0.10pct,1,0.75,132,81,11,0.5984848484848485,0.5817518590801178,1.673298940473067,0.010109424976649864,-0.15999401838506902,0.13250543230787867,0.5125,122,0.6065573770491803,0.024123327148098634,10,0.5,-0.1608601815150251,25.982954545454547
