label,risk,heat,fills,total,cagr,maxDD,mean_mo,med_mo,worst_mo,pos_mo,ge10,n_mo,breach,breach_dt,survived
IS_k8,0.005,0.03,81,0.19821692621983655,80.72185437498185,0.05793738814391595,0.19821692621983655,0.19821692621983655,0.19821692621983655,1.0,1.0,1,daily_loss,2021-01-16 22:05:00+00:00,False
IS_k8,0.005,0.06,118,0.4378829111471154,6926.36015421305,0.05896699219663953,0.4378829111471154,0.4378829111471154,0.4378829111471154,1.0,1.0,1,daily_loss,2021-01-16 22:05:00+00:00,False
IS_k8,0.0075,0.01,803,2.839225501898999,1.119786015244789,0.0885722959105046,0.06481147555119389,0.05386375840335145,-0.03979922162478988,0.8636363636363636,0.2727272727272727,22,daily_loss,2022-10-17 23:38:00+00:00,False
IS_k8,0.0075,0.03,23,0.13331365156855468,9337.481860035627,0.055236130776282324,0.13331365156855468,0.13331365156855468,0.13331365156855468,1.0,1.0,1,daily_loss,2021-01-06 20:04:00+00:00,False
IS_k8,0.0075,0.06,23,0.2476036878428025,498117864457.02747,0.03052425156895716,0.2476036878428025,0.2476036878428025,0.2476036878428025,1.0,1.0,1,daily_loss,2021-01-05 05:55:00+00:00,False
IS_k8,0.01,0.06,20,0.27127839659644026,3299710931.1204495,0.05056512853723448,0.27127839659644026,0.27127839659644026,0.27127839659644026,1.0,1.0,1,daily_loss,2021-01-06 02:39:00+00:00,False
IS_k16,0.001,0.01,20888,22.56194470290446,0.7822824179464327,0.13590771473565733,0.05055417245233827,0.05624837125632065,-0.05164872179299185,0.7727272727272727,0.15151515151515152,66,,,True
IS_k16,0.001,0.02,26584,69.9068089876201,1.4069629011089533,0.21487724427223756,0.07881573527641664,0.08212604366754017,-0.12217915793293077,0.847457627118644,0.423728813559322,59,daily_loss,2025-11-09 14:30:00+00:00,False
IS_k16,0.001,0.03,4658,3.410031936345937,5.398879269571152,0.09865323615028876,0.1661572072188508,0.17210496097548766,-0.06903064356014188,0.9,0.7,10,daily_loss,2021-10-20 18:16:00+00:00,False
IS_k16,0.001,0.06,4686,3.4592068771385964,5.488254814835365,0.09865323615028772,0.16757617400070957,0.17236961641544435,-0.06551144129891251,0.9,0.7,10,daily_loss,2021-10-20 18:16:00+00:00,False
IS_k16,0.002,0.01,3847,3.3765623872878603,1.28067828022672,0.1064883310449671,0.07164988706665215,0.06716453350166218,-0.03866075799123736,0.8181818181818182,0.36363636363636365,22,daily_loss,2022-10-17 23:38:00+00:00,False
IS_k16,0.002,0.02,489,0.632695296491157,57.52677760151192,0.04483703705572683,0.2782090444435311,0.2782090444435311,0.24469688536525025,1.0,1.0,2,daily_loss,2021-02-15 02:19:00+00:00,False
IS_k16,0.002,0.03,594,0.922094996013834,225.8055670930742,0.0414479983964822,0.3880579869512717,0.3880579869512717,0.3201611598870935,1.0,1.0,2,daily_loss,2021-02-15 01:37:00+00:00,False
IS_k16,0.002,0.06,708,1.2718330917519092,907.5090742538669,0.052262484337824,0.5152919533959639,0.5152919533959639,0.35948241493747624,1.0,1.0,2,daily_loss,2021-02-15 01:37:00+00:00,False
IS_k16,0.0035,0.01,1845,2.6513383762680403,1.061207658617556,0.07037322064649555,0.0626525573105956,0.07691903839242686,-0.05150326066218214,0.8181818181818182,0.22727272727272727,22,daily_loss,2022-10-17 23:38:00+00:00,False
IS_k16,0.0035,0.02,473,0.918243392732965,37.87776026784592,0.06811263126988176,0.2576828208739301,0.3762770287510866,-0.007373132655802306,0.6666666666666666,0.6666666666666666,3,daily_loss,2021-03-08 14:47:00+00:00,False
